File generated on // Fichier créé sur, 2025-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, NO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-01,7,4,1,2,2,2,2,2,2,3,4,8,19,21,16,14,12,14,12,9,3,2,8,14
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-02,6,16,11,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,2,2,3,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-03,4,4,5,5,5,5,10,5,5,4,2,2,2,2,2,3,4,6,3,2,7,3,3,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-04,2,2,2,3,5,4,2,3,3,3,2,2,2,2,2,3,5,4,3,2,2,3,3,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-05,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,3,9,6,4,5,3,3,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-06,2,3,2,3,4,6,17,14,20,23,22,16,10,6,4,5,12,10,17,11,15,17,22,7
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-07,9,5,5,2,3,2,4,2,2,3,5,6,4,2,3,5,4,6,8,8,10,10,8,12
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-08,5,9,8,7,8,9,9,8,11,10,7,4,2,3,2,3,4,6,8,5,5,12,10,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-09,1,2,2,1,1,1,2,6,9,11,6,3,2,2,3,4,2,3,2,2,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-10,2,2,3,4,5,13,11,15,13,11,11,13,12,8,8,3,3,3,2,3,4,5,6,10
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-11,8,9,10,12,16,17,10,13,28,23,9,3,3,4,4,3,6,6,4,4,3,2,2,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-12,6,3,5,7,6,7,11,10,2,2,2,2,2,2,2,3,4,13,12,16,16,16,13,9
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-13,13,14,12,11,13,15,17,17,27,20,16,4,3,5,3,4,6,6,3,3,2,2,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-14,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-15,0,0,0,0,0,0,0,0,1,0,1,3,3,5,2,3,4,3,3,6,4,7,10,12
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-16,15,14,13,14,14,8,9,14,12,16,16,18,-999,21,20,13,10,10,12,12,26,9,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-17,1,1,1,0,0,1,1,5,4,8,-999,-999,-999,17,18,26,23,18,4,7,12,13,2,11
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-18,37,31,29,24,30,26,4,3,3,2,2,2,1,2,2,2,2,2,1,1,1,2,2,18
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-19,14,15,7,3,1,1,2,2,3,3,3,2,2,3,3,3,3,4,4,4,3,3,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-20,2,1,2,2,2,1,2,3,4,3,4,4,7,4,4,6,13,14,15,12,9,9,8,8
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-21,5,4,4,5,7,6,5,7,9,7,7,7,7,7,5,4,4,2,1,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-22,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,3,3,3,4,3,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-23,3,3,3,3,3,3,4,6,6,6,3,3,2,3,4,4,4,2,2,2,2,4,4,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-24,2,2,1,0,0,1,1,2,5,3,3,2,4,3,1,1,1,1,2,2,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-25,1,3,2,2,1,1,2,4,4,3,3,3,2,2,2,2,4,3,3,3,4,4,6,5
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-26,3,3,2,3,5,7,9,17,13,8,7,7,4,5,6,5,4,2,1,1,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-27,1,1,0,0,1,1,1,2,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-28,2,1,1,1,1,1,2,4,3,2,2,3,4,2,2,3,7,11,7,5,4,5,3,6
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-29,6,4,5,5,3,3,4,4,16,3,1,1,2,2,2,2,2,2,2,3,4,4,8,5
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-30,5,6,3,2,2,2,2,4,8,7,3,4,2,2,2,2,3,5,5,4,4,5,11,7
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-01-31,5,6,3,5,5,7,15,16,10,7,9,7,4,4,3,3,5,7,10,10,3,3,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-01,1,1,1,1,1,1,2,3,4,3,2,2,2,2,2,3,3,6,5,13,13,12,13,14
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-02,17,15,17,17,18,17,7,6,5,3,2,2,2,2,2,3,4,9,10,4,9,4,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-03,2,2,2,4,5,12,12,6,7,7,8,4,2,3,4,5,9,2,2,4,2,3,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-05,1,1,1,1,0,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-06,0,0,0,0,1,1,2,2,3,2,3,3,4,4,8,8,11,10,11,5,6,3,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-07,1,1,1,1,1,2,3,3,4,7,6,7,7,8,10,10,11,12,10,9,8,7,9,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-08,3,2,2,3,4,8,15,15,11,5,5,7,4,3,3,3,3,2,2,2,3,2,3,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-09,1,1,1,3,2,5,6,9,11,4,2,2,2,2,2,3,5,3,2,2,3,2,3,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-10,3,1,2,1,2,2,3,3,4,2,2,3,2,5,6,21,17,11,23,24,13,8,8,8
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-11,5,6,4,3,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-12,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,4,6,7,12,16,9,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-13,7,7,3,5,6,8,8,21,14,3,2,2,2,2,2,3,6,7,16,12,12,7,4,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-14,1,1,3,2,1,2,3,2,4,5,8,10,9,9,10,11,11,10,11,5,3,1,1,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,2,4,5,5,22,19
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-16,8,8,6,14,4,5,8,12,12,18,3,5,7,5,5,4,3,2,1,2,3,3,3,7
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-17,5,6,4,3,2,2,3,3,6,3,4,4,3,4,6,9,9,13,30,20,22,16,16,13
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-18,4,4,4,9,9,5,6,5,4,3,3,2,2,2,2,2,2,4,2,3,2,3,3,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-19,6,9,10,8,7,9,10,7,3,3,3,2,2,3,4,4,4,5,12,10,8,10,13,13
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-20,13,13,17,20,13,17,15,14,17,24,13,6,4,4,3,3,3,3,2,1,1,1,2,1
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-21,1,1,1,1,1,1,1,2,3,2,2,4,2,3,3,7,5,5,8,6,6,6,6,7
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-22,3,3,8,4,3,3,2,2,3,3,3,3,2,2,2,2,2,2,1,2,2,1,2,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-23,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,3,3,3,3,2,2,5
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-24,2,3,3,3,2,2,3,3,3,2,2,2,1,2,2,2,3,4,7,10,10,6,5,5
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-25,3,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2,2,3,3,3,2,3,3,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-26,4,3,3,3,3,3,4,3,2,2,2,2,2,2,2,2,2,4,6,4,4,3,3,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-27,3,5,4,12,17,20,12,22,3,3,2,2,1,1,2,2,2,3,6,9,17,16,13,14
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-02-28,15,15,15,16,13,17,18,18,15,3,2,2,2,2,3,3,3,4,3,3,4,2,2,4
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-01,3,2,3,2,2,2,2,3,3,4,2,2,2,2,3,2,3,3,3,4,3,3,3,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-02,2,3,2,2,3,3,2,3,2,2,1,1,2,2,2,1,2,3,3,3,2,2,2,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-03,3,3,5,5,7,8,14,17,18,17,8,16,10,6,2,3,5,5,8,4,7,7,3,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-04,3,6,3,5,4,3,2,2,2,1,2,2,2,1,2,2,2,2,2,3,4,6,3,3
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-05,3,2,2,5,4,2,3,3,2,1,2,3,4,2,1,2,2,2,3,5,4,4,3,2
NO2,010102,St. John's,NL,47.56038,-52.71147,2023-03-06,2,3,3,3,5,10,16,24,23,35,16,3,4,9,5,5,6,7,4,6,21,11,5,3
