File generated on // Fichier créé sur, 2025-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, O3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-01,19,21,22,22,22,22,23,22,21,21,19,14,7,8,13,19,28,28,30,33,37,37,31,25
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-02,31,20,23,35,33,23,24,26,26,27,26,25,25,28,27,28,28,27,26,26,27,27,24,23
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-03,20,20,17,16,16,18,18,23,22,22,24,25,22,24,24,24,24,21,26,27,23,28,28,30
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-04,31,30,29,25,24,25,27,28,27,28,29,29,31,31,31,30,27,27,27,26,27,29,28,28
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-05,28,28,28,29,30,32,35,33,33,32,31,30,29,30,30,30,25,26,29,30,31,32,32,32
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-06,31,30,32,30,27,25,12,12,8,6,12,21,26,31,34,33,26,27,19,24,22,22,18,31
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-07,29,32,32,34,34,35,34,36,36,35,32,33,33,35,35,34,35,32,32,32,30,32,32,29
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-08,35,29,26,21,19,16,16,19,17,18,24,32,35,34,35,33,33,30,25,28,27,19,20,24
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-09,31,32,31,31,32,31,33,30,26,22,29,33,36,36,34,33,33,32,32,32,31,30,30,31
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-10,32,30,30,28,27,20,23,21,24,26,26,25,27,31,32,37,36,36,36,35,34,33,30,25
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-11,25,25,25,23,16,16,27,24,11,15,28,34,34,32,34,34,31,31,32,30,34,36,36,35
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-12,32,33,32,28,30,29,24,27,35,34,35,35,35,35,35,34,33,24,24,20,19,18,18,20
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-13,16,15,15,15,14,13,12,16,9,15,20,32,32,31,33,32,30,30,34,34,36,36,37,37
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-14,37,37,37,37,38,39,39,38,39,39,38,38,37,36,37,37,37,37,36,36,36,35,35,35
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-15,35,35,34,34,34,34,34,35,35,36,35,34,31,31,34,33,35,38,37,33,34,31,30,27
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-16,24,26,26,26,26,32,31,26,29,26,24,22,-999,19,22,27,29,28,26,26,15,30,40,40
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-17,40,40,40,41,41,40,40,36,37,22,-999,-999,18,21,21,15,18,22,36,31,26,27,36,28
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-18,6,9,9,14,7,14,32,33,30,30,30,30,30,30,30,30,30,30,31,31,30,30,29,12
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-19,19,17,26,30,30,30,27,24,26,26,24,23,22,21,21,22,22,20,20,18,22,30,32,34
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-20,33,33,33,33,33,33,32,33,33,35,35,34,33,34,35,33,27,26,25,28,31,31,32,33
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-21,35,36,36,36,34,35,35,34,32,33,33,33,33,32,34,35,35,38,38,37,37,37,38,38
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-22,38,37,37,36,36,34,33,33,33,33,33,34,35,35,34,35,35,35,35,35,35,33,32,32
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-23,32,32,33,33,32,32,32,32,31,33,35,35,36,35,34,33,33,35,35,36,37,35,36,37
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-24,40,39,39,39,40,40,41,39,37,39,37,32,30,31,31,31,31,32,31,33,33,33,33,35
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-25,34,34,33,35,35,35,34,33,31,32,32,30,31,30,30,29,29,31,31,31,29,29,29,28
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-26,30,29,29,29,27,24,22,16,20,28,30,31,33,31,31,31,32,33,33,33,33,33,34,33
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-27,33,34,35,36,36,37,37,37,37,34,33,33,32,32,30,29,27,26,27,28,30,31,31,32
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-28,33,34,34,34,34,34,34,32,32,33,32,32,31,33,34,34,29,27,28,30,31,31,33,29
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-29,28,30,26,26,29,32,30,28,19,31,33,33,32,33,34,34,34,33,32,32,30,31,26,28
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-30,27,24,27,29,30,32,33,32,30,30,33,33,36,36,37,37,36,34,34,35,33,32,24,28
O3,010102,St. John's,NL,47.56038,-52.71147,2023-01-31,28,25,28,24,25,21,13,14,18,25,24,25,28,28,29,28,27,25,20,22,25,26,29,32
O3,010102,St. John's,NL,47.56038,-52.71147,2023-02-01,35,33,34,34,35,34,34,33,32,32,32,32,32,33,35,34,32,29,29,19,18,18,15,14
O3,010102,St. John's,NL,47.56038,-52.71147,2023-02-02,11,11,8,9,8,12,25,26,29,32,33,32,33,33,34,33,32,27,25,29,25,30,33,33
O3,010102,St. John's,NL,47.56038,-52.71147,2023-02-03,33,32,30,28,27,21,23,32,29,32,32,33,34,34,34,33,29,36,37,36,37,37,39,37
O3,010102,St. John's,NL,47.56038,-52.71147,2023-02-04,38,38,37,36,37,39,39,37,36,35,34,34,34,34,32,31,29,28,26,26,26,27,28,29
O3,010102,St. John's,NL,47.56038,-52.71147,2023-02-05,30,32,32,32,32,32,31,31,31,30,32,32,32,33,34,34,34,36,34,34,34,35,35,36
O3,010102,St. John's,NL,47.56038,-52.71147,2023-02-06,36,35,35,34,35,36,36,36,35,36,35,36,34,34,29,26,25,25,24,29,27,30,31,32
O3,010102,St. John's,NL,47.56038,-52.71147,2023-02-07,32,32,32,32,33,32,32,32,32,30,32,32,32,32,31,30,29,28,31,32,32,33,33,37
O3,010102,St. John's,NL,47.56038,-52.71147,2023-02-08,38,39,38,37,37,32,26,25,30,34,33,32,34,34,34,34,34,35,34,34,33,33,31,32
