File generated on // Fichier créé sur, 2025-02-14

Pollutant // Polluant:, PM2.5
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,Method Code//Code Méthode,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-01,38,44,46,52,48,49,33,33,36,42,36,31,31,29,25,22,26,25,30,30,12,1,1,1
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-02,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2,2,2,3,3,3,5,3,3,4
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-03,3,2,2,1,2,2,2,2,2,2,2,2,2,3,5,7,13,17,15,23,22,24,30,21
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-04,20,8,6,5,9,7,6,8,8,12,11,10,9,9,11,13,14,14,16,14,10,11,10,10
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-05,8,8,5,5,5,5,7,12,17,21,26,27,20,19,23,26,25,27,25,26,27,24,24,20
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-06,7,6,6,9,12,17,16,13,11,11,11,12,10,8,6,4,4,5,6,5,6,7,6,5
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-07,6,5,6,7,7,6,6,7,7,5,6,9,10,8,10,10,9,7,6,4,6,5,5,5
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-08,3,3,2,3,2,2,3,4,4,7,8,7,8,8,8,9,10,8,10,13,12,10,11,10
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-09,9,11,13,11,11,11,10,10,11,12,6,7,8,11,10,10,5,4,5,6,5,4,4,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-10,7,7,6,5,3,3,4,5,6,6,5,5,5,6,9,8,9,11,11,6,6,6,6,7
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-11,10,12,12,14,14,15,15,16,16,16,16,16,16,16,15,15,17,20,19,19,23,19,20,18
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-12,16,15,14,14,17,16,16,17,16,16,16,18,16,17,18,18,18,21,22,20,20,21,21,24
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-13,23,19,17,18,15,13,17,13,11,12,11,13,12,12,12,13,19,21,23,27,28,28,29,28
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-14,28,27,31,31,28,21,20,11,2,3,3,2,2,3,3,4,4,4,4,4,5,5,6,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-15,5,4,5,5,6,6,6,6,9,8,8,9,9,9,8,8,11,12,12,12,12,12,13,12
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-16,12,13,11,10,9,10,11,14,13,11,10,10,11,12,13,13,13,14,24,26,24,21,19,18
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-17,16,17,16,19,15,13,12,10,8,5,4,5,4,4,3,3,4,4,5,5,5,5,5,4
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-18,5,7,8,7,9,8,6,7,7,6,6,6,9,11,12,12,13,14,14,13,14,14,19,38
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-19,20,14,12,9,10,10,10,10,10,10,11,11,12,11,-999,16,17,19,20,15,16,23,29,23
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-20,15,12,7,5,5,6,6,7,8,9,9,8,7,9,9,8,8,10,11,11,11,10,11,10
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-21,12,13,18,14,6,7,6,8,6,7,5,4,5,6,8,13,16,18,23,23,29,37,44,31
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-22,22,19,27,45,45,44,47,45,41,41,30,26,27,27,26,27,23,23,24,30,39,36,29,34
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-23,35,38,36,35,35,33,39,35,29,19,15,9,7,7,8,8,9,11,11,16,14,11,15,28
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-24,21,22,29,26,22,25,32,35,33,31,37,38,29,16,16,16,15,15,16,12,12,12,23,27
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-25,26,23,22,21,19,17,16,18,19,22,23,23,24,23,25,23,20,18,19,20,16,12,5,7
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-26,7,8,7,4,3,4,5,6,7,7,6,7,8,10,11,12,16,20,18,17,27,27,22,16
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-27,17,17,19,22,18,17,15,14,15,18,31,11,11,10,10,10,11,22,33,25,14,13,11,12
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-28,13,13,15,18,18,19,13,5,7,7,7,7,8,7,8,7,9,13,22,25,23,13,14,16
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-29,12,13,11,8,7,7,8,7,8,7,7,7,6,5,5,5,9,12,12,12,8,5,5,8
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-30,7,6,4,3,3,5,4,4,5,6,8,10,9,8,7,8,11,15,17,16,13,12,10,9
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-01-31,8,9,9,9,10,10,12,15,15,14,16,13,11,12,11,11,10,11,15,14,14,12,11,18
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-01,16,16,16,16,15,17,16,10,12,14,16,15,17,19,19,20,20,21,21,18,10,7,6,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-02,6,7,7,6,7,6,6,7,7,8,8,9,10,10,11,13,14,14,15,13,17,24,21,22
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-03,22,24,22,15,12,14,14,6,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-04,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,9,8,10,7,7,6,7,7
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-05,6,7,8,8,8,9,10,9,8,4,4,5,5,6,5,7,6,9,8,9,10,13,11,12
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-06,12,12,15,13,13,12,10,9,8,8,8,8,9,5,4,4,7,10,18,20,22,21,21,21
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-07,17,17,16,16,16,16,18,19,20,19,10,10,10,12,19,21,22,19,19,19,17,21,27,24
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-08,23,21,20,19,19,18,16,15,13,12,11,11,13,15,17,17,26,31,27,31,36,40,36,31
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-09,23,17,14,13,11,6,4,5,6,6,5,6,4,5,6,6,6,11,12,11,11,13,18,14
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-10,14,14,10,9,11,13,18,23,27,27,25,14,13,9,7,6,8,11,14,9,6,5,4,5
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-11,5,6,7,6,8,10,10,8,8,10,9,7,7,7,7,6,7,8,12,7,9,6,9,8
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-12,4,4,4,4,4,5,5,4,4,10,14,11,7,3,4,4,5,4,5,4,4,3,3,4
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-13,5,6,4,4,3,3,3,3,3,3,3,4,8,4,4,6,5,5,5,5,8,8,11,8
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-14,8,6,5,4,4,4,4,4,6,8,9,10,8,7,7,7,9,8,8,9,8,9,10,11
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-15,11,10,10,9,8,9,10,9,9,10,8,8,8,7,7,7,10,12,13,14,19,28,14,14
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-16,20,14,14,12,9,8,10,10,8,9,12,14,15,16,17,17,16,16,15,15,14,14,14,14
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-17,12,13,12,11,11,13,11,12,14,14,13,15,14,14,13,16,22,19,10,4,2,2,3,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-18,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,5,7,9,9,9,9,8,15
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-19,8,7,6,5,3,3,2,2,4,4,5,6,6,8,7,5,7,6,6,6,5,5,7,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-20,6,5,4,6,5,5,5,5,5,2,3,4,3,3,3,3,4,5,6,6,8,7,10,8
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-21,8,6,6,6,11,16,11,10,8,7,6,10,9,7,-999,6,6,6,5,6,5,6,6,8
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-22,7,7,6,6,7,6,6,6,6,7,7,7,7,8,8,8,7,7,9,9,9,6,5,5
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-23,4,4,8,10,10,8,7,3,5,4,4,5,6,6,6,6,6,6,6,6,5,6,5,5
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-24,5,5,4,4,4,4,5,6,6,5,4,4,4,6,7,8,7,9,12,15,16,27,20,15
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-25,15,12,10,8,6,7,6,7,6,5,6,7,6,5,4,5,5,5,6,6,5,7,8,11
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-26,13,11,10,12,13,11,12,11,8,8,8,6,5,5,4,4,4,5,7,7,7,6,8,9
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-27,10,10,12,14,15,15,15,16,17,18,17,17,18,15,4,3,3,4,5,6,6,4,4,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-02-28,4,3,4,4,5,5,5,7,8,6,7,7,8,8,8,9,10,11,11,13,12,13,13,15
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-01,-999,11,11,10,11,10,13,13,13,11,11,11,-999,-999,-999,-999,-999,-999,13,13,13,12,13,15
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-02,14,16,14,14,14,16,16,15,15,13,12,10,8,12,9,6,5,6,8,7,9,9,10,9
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-03,9,13,13,11,3,3,3,3,4,4,4,4,5,4,4,4,5,7,10,9,12,9,8,8
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-04,9,8,8,8,8,8,8,8,7,8,6,6,5,5,5,6,6,8,9,14,30,15,12,15
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-05,20,27,27,25,20,27,28,37,17,17,11,10,8,6,5,5,8,8,9,9,9,8,6,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-06,6,6,6,6,6,6,7,11,11,12,14,19,22,28,34,34,36,27,25,10,5,4,2,2
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-07,2,2,2,2,2,2,3,4,5,5,5,6,9,11,11,10,8,9,7,6,5,6,4,2
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-08,3,3,3,3,3,4,5,5,4,5,6,4,4,4,4,5,6,8,9,8,8,18,14,10
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-09,15,10,7,6,5,6,12,18,13,9,8,7,7,7,7,8,9,11,10,10,11,14,12,12
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-10,14,14,15,18,18,16,16,14,8,5,4,4,4,4,3,4,5,7,8,6,12,15,12,12
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-11,7,7,8,8,9,8,7,7,5,5,6,6,8,9,10,11,11,13,13,12,13,12,14,15
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-12,17,20,21,21,28,26,19,13,7,5,3,3,3,2,2,3,3,3,3,4,4,5,5,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-13,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,6,6,7,7,6,6,7
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-14,7,8,10,10,11,12,15,18,19,15,13,11,7,6,8,9,12,11,9,10,10,10,14,15
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-15,18,19,18,17,18,18,16,8,3,5,4,4,4,3,3,4,5,5,5,6,6,14,14,13
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-16,12,12,14,16,20,20,19,15,9,7,7,7,8,8,9,8,8,9,12,15,17,18,18,19
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-17,23,24,23,24,27,26,22,23,19,16,19,-999,-999,-999,14,13,13,20,21,23,25,24,20,17
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-18,18,22,21,33,36,35,48,52,38,26,13,8,9,9,5,5,6,11,7,14,9,7,8,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-03-19,6,6,6,7,6,3,4,2,2,1,1,1,2,1,2,2,4,4,5,6,7,7,6,7
