File generated on // Fichier créé sur, 2025-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, PM2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, µg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant,Method Code//Code Méthode,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-01,4,4,5,5,4,4,3,4,4,3,2,2,2,4,3,3,3,3,2,2,3,3,3,2
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-02,2,2,2,2,2,3,3,4,7,10,14,22,27,24,19,15,11,8,6,6,6,5,5,5
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-03,9,9,9,9,9,8,7,8,8,8,7,7,6,6,6,7,9,17,13,15,14,17,16,18
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-04,17,13,13,10,9,7,7,4,4,4,4,-999,4,4,4,3,3,3,2,2,1,2,3,3
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-05,2,2,2,2,2,2,2,2,2,2,3,4,4,6,6,7,7,6,7,7,8,8,11,11
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-06,13,15,15,14,15,16,16,17,18,16,15,13,13,15,16,17,20,21,24,29,25,22,20,18
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-07,18,16,13,11,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-08,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,5,4,4,5,5,7,7,7,7
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-09,6,6,8,9,9,10,9,10,9,7,7,8,8,10,12,14,14,14,14,11,8,6,5,3
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-10,2,2,3,4,4,3,3,3,3,2,2,2,2,2,3,4,6,8,9,7,10,4,3,4
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-11,3,4,4,3,4,4,3,3,3,2,2,3,4,5,5,5,8,10,12,11,11,11,11,10
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-12,12,14,12,12,13,13,9,8,10,9,9,9,9,9,9,10,10,11,11,11,10,8,7,7
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-13,5,4,4,4,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-14,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,5,11,10,11,11,11,11,5
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-15,3,4,5,4,2,2,2,2,2,2,2,3,2,3,4,6,8,22,22,23,16,11,11,8
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-16,11,7,6,3,3,4,5,8,9,9,7,9,7,6,5,8,10,12,12,13,14,15,19,22
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-17,21,21,20,19,20,20,19,19,14,13,13,10,9,12,14,14,13,13,14,13,13,16,15,14
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-18,11,12,15,21,19,19,19,16,16,16,14,12,11,11,10,9,7,7,7,6,7,5,4,5
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-19,6,8,7,5,4,3,3,3,2,2,2,3,3,4,3,3,4,5,4,3,4,5,4,4
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-20,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,4,4,4,4,6,6,7,6,6
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-21,6,4,6,7,6,5,5,5,6,7,7,6,6,9,9,10,10,5,7,6,6,7,6,6
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-22,5,4,4,4,6,7,6,7,9,10,7,9,9,8,8,8,7,7,6,6,7,8,9,10
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-23,12,11,11,10,9,7,6,6,13,14,8,8,4,3,2,2,2,2,3,2,2,2,2,3
PM2.5,184,50103,Montréal,QC,45.64103,-73.49968,2023-01-24,3,3,3,3,3,4,4,6,7,8,8,8,8,7,7,5,3,2,2,2,4,3,3,3
