City,Model,Order,AIC,MAE,RMSE,R2
Montréal,ARIMA,"(0, 1, 1)",1556.2038844187343,4.111680996603013,5.506181645046306,-0.0679092655748057
Toronto,ARIMA,"(0, 0, 0)",1526.3428296925454,4.576894385194167,8.770696484174742,-0.12175559404777903
Edmonton,ARIMA,"(3, 1, 0)",1678.0796845219027,21.910156743465993,34.91190865396675,-0.043017699192417824
Quebec,ARIMA,"(0, 1, 2)",1177.0092944276737,3.91585348045516,6.64893477333366,-0.011418254720117815
Saint John,ARIMA,"(0, 0, 0)",1043.8206472502038,2.0235327334257187,3.0254231714847952,-0.040429904200131705
Kitimat,ARIMA,"(0, 1, 0)",1832.0087223894461,1.9199868736684935,3.7009091080014067,-1.0443978259999653e-07
Calgary,ARIMA,"(0, 0, 2)",1646.5342541629384,7.741144632052805,18.423476703616746,-0.1489060098683801
Hamilton,ARIMA,"(3, 1, 0)",1521.552859283391,4.817397345266765,7.869121432493675,-0.00021034201154712662
Fort Mckay,ARIMA,"(0, 1, 0)",1538.5722438013267,20.210037414350683,47.337979098915916,-0.12902955218379852
Sarnia,ARIMA,"(0, 1, 1)",1712.528499060561,4.8773293597475735,10.189985574641037,-0.010575867798528815
