City,MAE,RMSE,R2,Train_Size,Test_Size
Kitimat,1.8635529220771163,3.777220061361419,-0.021952173886025772,1096,365
Saint John,3.466784508028528,3.9652003638406597,-0.723739617952091,1096,365
Hamilton,5.104535785096627,8.967138947064024,-0.006434129882821882,1096,365
Sarnia,5.319932253916972,10.346805527562955,-0.0016488059302048885,1096,365
Montréal,5.358889778270914,8.561565154432687,-0.0778648261332735,1096,365
Toronto,5.490023125141645,8.294903986685853,-0.04013741987885178,1096,365
Quebec,7.265041831924451,8.89435835716992,-0.5618360417065293,1096,365
Calgary,9.257071173825873,17.322202662212717,-0.008740520091324866,1096,365
Fort Mckay,19.856783675242852,46.066302882664694,-0.14552278073252878,1096,365
Edmonton,23.587086296241036,32.86055910205243,-0.19944888473513633,1096,365
