Date,City,Actual_PM25,Forecast_PM25
2023-01-01,Montréal,3.791666667,7.617045803263587
2023-01-02,Montréal,8.791666667,7.07652687260242
2023-01-03,Montréal,10.16666667,7.060252155534934
2023-01-04,Montréal,5.208333333,6.638644091882079
2023-01-05,Montréal,7.875,7.349447282413773
2023-01-06,Montréal,19.75,7.347320489384918
2023-01-07,Montréal,1.375,6.882324087892592
2023-01-08,Montréal,1.166666667,7.116924355366715
2023-01-09,Montréal,9.333333333,7.553084038676473
2023-01-10,Montréal,2.041666667,7.657691266339655
2023-01-11,Montréal,7.708333333,7.073564536753016
2023-01-12,Montréal,12.0,7.593545182637543
2023-01-13,Montréal,1.958333333,7.454267269079439
2023-01-14,Montréal,4.583333333,6.911822416372842
2023-01-15,Montréal,8.083333333,7.111078566204239
2023-01-16,Montréal,8.125,7.535350045687411
2023-01-17,Montréal,15.20833333,7.638611494993356
2023-01-18,Montréal,9.333333333,7.056583767328645
2023-01-19,Montréal,3.583333333,7.57896746865122
2023-01-20,Montréal,1.791666667,7.441401766685946
2023-01-21,Montréal,7.708333333,6.899917851895199
2023-01-22,Montréal,7.125,7.099609530505862
2023-01-23,Montréal,6.208333333,7.524025625186077
2023-01-24,Montréal,3.291666667,7.6273018520259726
2023-01-25,Montréal,4.5,7.045247058331366
2023-01-26,Montréal,3.041666667,7.567600508216873
2023-01-27,Montréal,8.708333333,7.430013434992321
2023-01-28,Montréal,5.75,6.888517599535138
2023-01-29,Montréal,3.416666667,7.08820391266019
2023-01-30,Montréal,8.583333333,7.512618249282569
2023-01-31,Montréal,5.619047619,7.6158943166987205
2023-02-01,Montréal,16.625,7.033839871492467
2023-02-02,Montréal,9.625,7.556193702075669
2023-02-03,Montréal,2.166666667,7.418606895548136
2023-02-04,Montréal,5.083333333,6.877111207943257
2023-02-05,Montréal,13.16666667,7.0767975871516215
2023-02-06,Montréal,17.45833333,7.501211945132043
2023-02-07,Montréal,11.04166667,7.604488014228117
2023-02-08,Montréal,9.958333333,7.022433564541138
2023-02-09,Montréal,12.625,7.544787390335059
2023-02-10,Montréal,3.625,7.407200580479993
2023-02-11,Montréal,1.208333333,6.865704891041629
2023-02-12,Montréal,18.58333333,7.065391269436296
2023-02-13,Montréal,12.5,7.489805627157429
2023-02-14,Montréal,6.25,7.593081696236372
2023-02-15,Montréal,8.0,7.01102724660693
2023-02-16,Montréal,2.958333333,7.533381072461083
2023-02-17,Montréal,2.565217391,7.395794262647526
2023-02-18,Montréal,6.041666667,6.854298573231894
2023-02-19,Montréal,10.125,7.053984951636577
2023-02-20,Montréal,3.875,7.478399309360855
2023-02-21,Montréal,4.541666667,7.581675378439965
2023-02-22,Montréal,5.291666667,6.999620928809784
