City,Best_Order,Best_Seasonal_Order,AIC,MAE,RMSE,R2,Train_Size,Test_Size
Saint John,"(1, 1, 2)","(0, 1, 1, 7)",5213.480585009282,2.1063739996457995,3.0463829582176745,-0.017443691086528323,1096,365
Kitimat,"(1, 1, 2)","(0, 1, 1, 7)",4933.466199569322,2.309401429626322,3.860448630199719,-0.06748443721564801,1096,365
Montréal,"(2, 1, 2)","(0, 1, 1, 7)",6236.376547730747,4.125698333734305,8.311117804840368,-0.015726642541273428,1096,365
Quebec,"(1, 1, 2)","(1, 1, 1, 7)",6413.812510236639,4.311741521239911,7.1560073784587335,-0.010992079712881742,1096,365
Toronto,"(2, 1, 2)","(0, 1, 1, 7)",6094.172447055762,4.531656996274168,8.174028363351914,-0.010043956934724152,1096,365
Hamilton,"(1, 1, 2)","(0, 1, 1, 7)",6234.184316606403,4.84644449919042,9.152279149739863,-0.04842187368078954,1096,365
Sarnia,"(1, 1, 2)","(0, 1, 1, 7)",6177.000108482509,4.936079186146376,10.475969716467459,-0.02681303543312219,1096,365
Calgary,"(1, 1, 2)","(0, 1, 1, 7)",6849.220348367433,7.790626058114365,17.430331706529284,-0.021373391682730558,1096,365
Edmonton,"(2, 1, 2)","(0, 1, 1, 7)",7366.686449056042,12.541748458617505,30.616598261936623,-0.04122771470819009,1096,365
Fort Mckay,"(2, 1, 2)","(0, 1, 1, 7)",6329.698500168448,20.149493211323403,46.94586264200644,-0.1896841082879357,1096,365
