City,Total_Days,Extreme_Days_all,Avg_PM25,Max_PM25,Avg_Abs_Error,Extreme_%,Extreme_Days_extreme,Avg_Extreme_PM25,Max_Extreme_PM25,Extreme_Day_MAE
Fort Mckay,365,80,24.699185070621915,354.625,20.149493211323403,21.92,80.0,81.98362007074999,354.625,76.0026174013765
Edmonton,365,49,16.98975790847945,322.4166667,12.541748458617505,13.42,49.0,68.7811668155102,322.4166667,58.01738382009968
Calgary,365,20,12.231500347175343,148.9166667,7.790626058114365,5.48,20.0,69.9938405775,148.9166667,60.15366394244751
Hamilton,365,9,10.155348936279452,85.45833333,4.84644449919042,2.47,9.0,50.96759259333333,85.45833333,42.701442746469525
Sarnia,365,8,9.492942031079451,116.875,4.936079186146376,2.19,8.0,61.86458333,116.875,54.120777191792925
Toronto,365,7,8.931691839926026,81.5,4.531656996274168,1.92,7.0,50.589285714285715,81.5,42.527935248023724
Montréal,365,5,8.04011175739178,121.375,4.125698333734305,1.37,5.0,54.70833333200001,121.375,47.63853529375581
Quebec,365,3,8.436611328684931,97.20833333,4.311741521239911,0.82,3.0,53.65277777666666,97.20833333,45.449114641155525
Kitimat,365,2,3.9851066625808222,44.625,2.3094014296263223,0.55,2.0,39.895833335,44.625,35.25578117168903
Saint John,365,0,5.463354179063014,19.875,2.1063739996457995,0.0,,,,
