city,pair,correlation
Agassiz,PM2.5 vs O3,-0.0326321444907847
Airdrie,PM2.5 vs O3,0.1122088847417306
Anzac,PM2.5 vs O3,0.004560205953769439
Ardrossan,PM2.5 vs O3,-0.040539942243293034
Auclair,PM2.5 vs O3,-0.060050797390783006
Aylesford,PM2.5 vs O3,0.11570441509553195
Barrie,PM2.5 vs O3,0.1159105363425435
Bathurst,PM2.5 vs O3,-0.11516919207533971
Beaverlodge,PM2.5 vs O3,-0.01589872633964752
Belleville,PM2.5 vs O3,0.12119156544194903
Brampton,PM2.5 vs O3,-0.08558871831540919
Brandon,PM2.5 vs O3,-0.04111606473208795
Brantford,PM2.5 vs O3,0.06599343475525005
Brossard,PM2.5 vs O3,-0.006152256281127356
Bruderheim,PM2.5 vs O3,0.020031976188705777
Buffalo Narrows,PM2.5 vs O3,0.029190872563434535
Burin,PM2.5 vs O3,0.10213113653811538
Burlington,PM2.5 vs O3,0.12206167144104134
Calgary,PM2.5 vs O3,0.031152538978112095
Caroline,PM2.5 vs O3,-0.013941427770707322
Castlegar,PM2.5 vs O3,0.030625280846733473
Charette,PM2.5 vs O3,-0.05065336813579616
Charlottetown,PM2.5 vs O3,0.001038642439166514
Chatham,PM2.5 vs O3,0.1941849168788914
Cold Lake,PM2.5 vs O3,-0.05594603923535449
Conklin,PM2.5 vs O3,-0.07232790254388656
Corner Brook,PM2.5 vs O3,0.011616888207394854
Cornwall,PM2.5 vs O3,0.019317596383064753
Courtenay,PM2.5 vs O3,-0.30364973042694954
Cranbrook,PM2.5 vs O3,-0.011156843710709824
Dartmouth,PM2.5 vs O3,0.024564783088099344
Deschambault,PM2.5 vs O3,-0.15934666943310669
Ditton,PM2.5 vs O3,-0.044034843646755806
Dorset,PM2.5 vs O3,0.0006180120679542246
Drayton Valley,PM2.5 vs O3,0.055999292511171604
Drummondville,PM2.5 vs O3,-0.051409639354717575
Duncan,PM2.5 vs O3,-0.23195542197989946
Edmonton,PM2.5 vs O3,-0.045280951485448945
Edmundston,PM2.5 vs O3,-0.14611020342651496
Edson,PM2.5 vs O3,0.013191509267256527
Elk Island,PM2.5 vs O3,-0.007311945569793663
Estevan,PM2.5 vs O3,0.0418771725202625
Fort Chipewyan,PM2.5 vs O3,-0.02179412374253253
Fort Mckay,PM2.5 vs O3,0.01986980473763362
Fort Mcmurray,PM2.5 vs O3,0.057873172549878955
Fort Saskatchewan,PM2.5 vs O3,-0.07419590193785686
Fort Simpson,PM2.5 vs O3,-0.3720667340197768
Fort Smith,PM2.5 vs O3,0.07616935180721551
Fort St. John,PM2.5 vs O3,-0.03482840724101787
Fredericton,PM2.5 vs O3,-0.2230702247899172
Gatineau,PM2.5 vs O3,0.013365135988697957
Genesee,PM2.5 vs O3,0.016839481321752912
Gibbons,PM2.5 vs O3,-0.06433134644928179
