City,MAE,RMSE,R2,AIC
Saint John,2.3292864182478548,3.3349935944478317,-0.13561871025093652,5123.0436314053495
Metro Van - North Vancouver,2.85421621041514,5.5624912720817115,-0.05597969812449399,6720.996604294578
Quebec,3.884724272433385,6.555150026490957,-0.040244247319015214,6044.864794088696
Sault Ste. Marie,3.9318555119883234,11.389733691883952,-0.0002960931598510186,5443.376020425287
Hamilton,5.070553456824858,7.932640175959592,-0.1268906034621402,6367.919830005666
Calgary,7.867674205493366,16.58727084400727,-0.10395039134303863,6862.607503398718
Red Deer,8.591628010294583,20.27920431141941,-0.157391044235613,6337.121999445496
Gibbons,11.768891579660734,26.01751873313846,-0.0591719290716759,7462.3834136966125
Grande Prairie,13.268309516653519,36.24651706827373,-0.12964465353800936,6138.813812221758
Fort Mcmurray,17.36767601191405,43.404873107770015,-0.16038129243658217,6180.207995511832
